System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[30/Mar/2017 06:36:24] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 06:36:24] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /planos/ HTTP/1.1" 200 36959
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 06:57:42] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 06:57:42] "GET /api/preferencias/servicos/ HTTP/1.1" 200 600
[30/Mar/2017 06:57:42] "GET /api/planos/ HTTP/1.1" 200 1023
[30/Mar/2017 14:52:12] "GET /protocolo/ HTTP/1.1" 200 348452
[30/Mar/2017 14:52:14] "GET /protocolo/get_detalhes_protocolo/1 HTTP/1.1" 301 0
[30/Mar/2017 14:52:14] "GET /protocolo/get_detalhes_protocolo/1/ HTTP/1.1" 200 112
[30/Mar/2017 14:52:18] "GET /protocolo/get_detalhes_protocolo/218 HTTP/1.1" 301 0
[30/Mar/2017 14:52:18] "GET /protocolo/get_detalhes_protocolo/218/ HTTP/1.1" 200 138
[30/Mar/2017 14:52:20] "GET /protocolo/visualizar/218 HTTP/1.1" 301 0
No handlers could be found for logger "xhtml2pdf"
[30/Mar/2017 14:52:29] "GET /protocolo/visualizar/218/ HTTP/1.1" 200 43241
[30/Mar/2017 14:52:36] "GET /protocolo/get_detalhes_protocolo/214 HTTP/1.1" 301 0
[30/Mar/2017 14:52:36] "GET /protocolo/get_detalhes_protocolo/214/ HTTP/1.1" 200 835
[30/Mar/2017 14:52:37] "GET /protocolo/visualizar/214 HTTP/1.1" 301 0
[30/Mar/2017 14:52:38] "GET /protocolo/visualizar/214/ HTTP/1.1" 200 43842
[30/Mar/2017 14:52:42] "GET /protocolo/get_detalhes_protocolo/213 HTTP/1.1" 301 0
[30/Mar/2017 14:52:42] "GET /protocolo/get_detalhes_protocolo/213/ HTTP/1.1" 200 412
[30/Mar/2017 14:52:43] "GET /protocolo/visualizar/213 HTTP/1.1" 301 0
[30/Mar/2017 14:52:43] "GET /protocolo/visualizar/213/ HTTP/1.1" 200 43588
[30/Mar/2017 14:52:47] "GET /protocolo/get_detalhes_protocolo/209 HTTP/1.1" 301 0
[30/Mar/2017 14:52:47] "GET /protocolo/get_detalhes_protocolo/209/ HTTP/1.1" 200 852
[30/Mar/2017 14:52:48] "GET /protocolo/visualizar/209 HTTP/1.1" 301 0
[30/Mar/2017 14:52:49] "GET /protocolo/visualizar/209/ HTTP/1.1" 200 43846
[30/Mar/2017 14:54:36] "GET /protocolo/get_detalhes_protocolo/217 HTTP/1.1" 301 0
[30/Mar/2017 14:54:36] "GET /protocolo/get_detalhes_protocolo/217/ HTTP/1.1" 200 746
[30/Mar/2017 14:54:46] "GET /protocolo/visualizar/217 HTTP/1.1" 301 0
[30/Mar/2017 14:54:47] "GET /protocolo/visualizar/217/ HTTP/1.1" 200 43319
